epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.53014,1.90514,3.16688,1.50573,0.00512,0.62574,0.18291,0.06331,1.87548,3.26754,1.42805,0.00013336,0.00013336,0.00013336
2,13.0761,1.36593,2.38279,1.28445,0.00673,0.78916,0.39708,0.20328,1.54687,3.15734,1.36109,0.000280584,0.000280584,0.000280584
3,17.3372,1.37164,1.77787,1.26571,0.00585,0.71225,0.43452,0.1982,1.47026,3.06574,1.27483,0.000424838,0.000424838,0.000424838
4,21.3244,1.3933,1.58044,1.24588,0.0064,0.73776,0.42552,0.22632,1.45003,2.86768,1.23637,0.000566122,0.000566122,0.000566122
5,25.2719,1.37282,1.5178,1.24435,0.96707,0.151,0.48708,0.24323,1.6023,2.74189,1.26987,0.000704434,0.000704434,0.000704434
6,30.3265,1.47465,1.45297,1.26953,0.56669,0.35991,0.39714,0.19189,1.51757,2.6109,1.43524,0.000839776,0.000839776,0.000839776
7,37.5271,1.42606,1.39547,1.23788,0.8473,0.37234,0.61921,0.32324,1.49473,2.46825,1.35215,0.000972148,0.000972148,0.000972148
8,41.7475,1.41554,1.38782,1.25083,0.77832,0.39503,0.70328,0.34681,1.57564,2.46362,1.2997,0.00110155,0.00110155,0.00110155
9,45.7422,1.40178,1.31156,1.23772,0.81991,0.46571,0.73442,0.4297,1.53857,2.26103,1.23757,0.00122798,0.00122798,0.00122798
10,49.5739,1.35682,1.25347,1.19841,0.56193,0.50926,0.65111,0.36316,1.56664,2.08896,1.23107,0.00135144,0.00135144,0.00135144
11,53.6689,1.37219,1.29898,1.22441,0.58558,0.7211,0.71066,0.36671,1.50548,1.93053,1.26408,0.00147193,0.00147193,0.00147193
12,57.5292,1.35128,1.2327,1.17921,0.60787,0.73291,0.75935,0.42677,1.53559,1.73383,1.22845,0.00148546,0.00148546,0.00148546
13,61.5692,1.32731,1.22499,1.18606,0.6052,0.72069,0.64808,0.34957,1.55069,1.86644,1.2635,0.00146896,0.00146896,0.00146896
14,65.4051,1.29922,1.16854,1.18467,0.6366,0.76327,0.66808,0.36191,1.53811,1.70313,1.31706,0.00145246,0.00145246,0.00145246
15,69.2973,1.33679,1.14807,1.18744,0.64256,0.69162,0.66853,0.36518,1.5906,1.55821,1.31415,0.00143595,0.00143595,0.00143595
16,73.116,1.32356,1.16053,1.19125,0.66739,0.7739,0.78811,0.4665,1.47453,1.48806,1.23032,0.00141945,0.00141945,0.00141945
17,76.9814,1.2741,1.08125,1.1511,0.74571,0.68345,0.81131,0.44563,1.55065,1.44757,1.22694,0.00140295,0.00140295,0.00140295
18,80.755,1.27788,1.07741,1.16872,0.64439,0.79811,0.79268,0.43851,1.54143,1.5091,1.26916,0.00138644,0.00138644,0.00138644
19,84.6747,1.28066,1.06556,1.17787,0.64274,0.69858,0.66235,0.29492,1.81019,1.51577,1.74335,0.00136994,0.00136994,0.00136994
20,88.4772,1.25468,1.03001,1.13807,0.76933,0.779,0.82009,0.43236,1.58792,1.3658,1.34449,0.00135344,0.00135344,0.00135344
21,92.3205,1.27547,1.03813,1.15639,0.82568,0.76631,0.8565,0.51887,1.50566,1.33161,1.20605,0.00133693,0.00133693,0.00133693
22,96.2055,1.25223,1.01135,1.17512,0.77938,0.75124,0.84968,0.52955,1.46168,1.43862,1.22902,0.00132043,0.00132043,0.00132043
23,100.036,1.28689,0.99733,1.17661,0.69467,0.79941,0.83831,0.4997,1.54662,1.44181,1.31474,0.00130393,0.00130393,0.00130393
24,103.918,1.26088,0.99584,1.18657,0.76882,0.6591,0.78093,0.42161,1.57798,1.40945,1.24916,0.00128742,0.00128742,0.00128742
25,107.83,1.30768,1.039,1.16783,0.86265,0.7553,0.85077,0.4959,1.55093,1.21477,1.25673,0.00127092,0.00127092,0.00127092
26,112.018,1.26145,0.98143,1.17183,0.91036,0.85647,0.8741,0.53939,1.40332,1.04611,1.17115,0.00125442,0.00125442,0.00125442
27,115.873,1.17338,0.92182,1.14677,0.8479,0.8441,0.85037,0.52692,1.38701,1.13537,1.15869,0.00123791,0.00123791,0.00123791
28,119.64,1.24493,0.97199,1.12797,0.75404,0.83728,0.86332,0.51411,1.50302,1.25547,1.19931,0.00122141,0.00122141,0.00122141
29,123.3,1.2135,0.93911,1.13459,0.78091,0.83592,0.85582,0.54668,1.36508,1.13752,1.14011,0.00120491,0.00120491,0.00120491
